,MOONEYID,REAL_NAME,PAPER,PAPER_NUMBER,MEAN_HOLISTIC,CI_LOWER_HOLISTIC,CI_UPPER_HOLISTIC,MEAN_UPRIGHT,CI_LOWER_UPRIGHT,CI_UPPER_UPRIGHT,MEAN_INVERTED,CI_LOWER_INVERTED,CI_UPPER_INVERTED
49,68.0,U0114.bmp,no,,0.05,-0.054651200722282356,0.15465120221239848,1.0,1.0,1.0,0.95,0.8453487866117306,1.0546511895464115
50,69.0,U0117.bmp,no,,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
51,71.0,U0121.bmp,yes,33,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
52,72.0,U0122.bmp,yes,34,0.15,-0.0790277632623281,0.37902777518325703,0.95,0.8453487866117306,1.0546511895464115,0.8,0.6079309429266859,0.992069080915172
53,73.0,U0123.bmp,yes,35,0.25,0.04207913816712927,0.45792086183287073,0.95,0.8453487866117306,1.0546511895464115,0.7,0.47995722937205165,0.9200427467860904
54,74.0,U0124.bmp,no,,0.15,-0.021455939773955407,0.3214559516948844,1.0,1.0,1.0,0.85,0.6785440920553543,1.0214559556283616
55,75.0,U0125.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
56,76.0,U0126.bmp,no,,0.2,-0.08810357958925791,0.4881035855497224,0.9,0.755948184873397,1.044051767442887,0.7,0.47995724331996786,0.9200427328381742
57,77.0,U0128.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
58,80.0,U0133.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
59,81.0,U0134.bmp,yes,38,-0.05,-0.15465120221239848,0.054651200722282356,0.95,0.8453487866117306,1.0546511895464115,1.0,1.0,1.0
60,82.0,U0136.bmp,no,,0.05,-0.054651200722282356,0.15465120221239848,1.0,1.0,1.0,0.95,0.8453487866117306,1.0546511895464115
61,83.0,U0137.bmp,no,,0.65,0.42097222088326575,0.8790277314330184,0.95,0.8453487866117306,1.0546511895464115,0.3,0.07995725321390956,0.5200427706279483
62,86.0,U0140.bmp,no,,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
63,87.0,U0141.bmp,no,,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
64,88.0,U0142.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
65,89.0,U0144.bmp,no,,0.2,0.007930933985989236,0.39206907197447527,1.0,1.0,1.0,0.8,0.6079309429266859,0.992069080915172
66,91.0,U0146.bmp,no,,0.15,-0.021455939773955407,0.3214559516948844,1.0,1.0,1.0,0.85,0.6785440920553543,1.0214559556283616
67,92.0,U0149.bmp,no,,-0.05,-0.28888286544548164,0.18888286395536552,0.85,0.6785440920553543,1.0214559556283616,0.9,0.755948184873397,1.044051767442887
68,93.0,U0152.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
