PATH,NAME,PATH_QUALTRICS,NUMBER_QUALTRICS,ORIENTATION
https://storage.cloud.google.com/mooney_holistic_complete/,U0120.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0120.bmp,70,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0121.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0121.bmp,71,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0122.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0122.bmp,72,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0123.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0123.bmp,73,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0124.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0124.bmp,74,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0125.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0125.bmp,75,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0126.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0126.bmp,76,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0128.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0128.bmp,77,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0129.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0129.bmp,78,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0131.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0131.bmp,79,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0133.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0133.bmp,80,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0134.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0134.bmp,81,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0136.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0136.bmp,82,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0137.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0137.bmp,83,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0138.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0138.bmp,84,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0139.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0139.bmp,85,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0140.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0140.bmp,86,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0141.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0141.bmp,87,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0142.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0142.bmp,88,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0144.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0144.bmp,89,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0145.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0145.bmp,90,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0146.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0146.bmp,91,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0149.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0149.bmp,92,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0152.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0152.bmp,93,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0153.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0153.bmp,94,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0155.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0155.bmp,95,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0156.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0156.bmp,96,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0157.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0157.bmp,97,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0158.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0158.bmp,98,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0159.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0159.bmp,99,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0160.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0160.bmp,100,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0164.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0164.bmp,101,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0165.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0165.bmp,102,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0166.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0166.bmp,103,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0168.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0168.bmp,104,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0171.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0171.bmp,105,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0173.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0173.bmp,106,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0175.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0175.bmp,107,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0178.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0178.bmp,108,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0179.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0179.bmp,109,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0181.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0181.bmp,110,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0182.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0182.bmp,111,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0183.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0183.bmp,112,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0186.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0186.bmp,113,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0187.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0187.bmp,114,upright
