,MOONEYID,REAL_NAME,PAPER,PAPER_NUMBER,MEAN_HOLISTIC,CI_LOWER_HOLISTIC,CI_UPPER_HOLISTIC,MEAN_UPRIGHT,CI_LOWER_UPRIGHT,CI_UPPER_UPRIGHT,MEAN_INVERTED,CI_LOWER_INVERTED,CI_UPPER_INVERTED
107,149.0,U0244.bmp,yes,60,0.2,0.007930933985989236,0.39206907197447527,1.0,1.0,1.0,0.8,0.6079309429266859,0.992069080915172
109,151.0,U0248.bmp,yes,61,0.05,-0.23305761627689003,0.33305761776700615,0.75,0.5420791381671293,0.9579208618328707,0.7,0.47995724331996786,0.9200427328381742
112,154.0,U0254.bmp,yes,62,0.2,0.007930933985989236,0.39206907197447527,1.0,1.0,1.0,0.8,0.6079309429266859,0.992069080915172
114,156.0,U0258.bmp,yes,63,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
138,185.0,U0309.bmp,yes,67,0.2,-0.044840965197001204,0.4448409711574657,0.95,0.8453487866117306,1.0546511895464115,0.75,0.5420791381671293,0.9579208618328707
139,186.0,U0312.bmp,yes,68,0.35,0.12097223876465918,0.5790277493144118,0.85,0.6785440920553543,1.0214559556283616,0.5,0.2599136811920915,0.7400863188079085
160,210.0,U0357.bmp,yes,69,0.2,0.007930933985989236,0.39206907197447527,1.0,1.0,1.0,0.8,0.6079309429266859,0.992069080915172
167,217.0,U0368.bmp,yes,70,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
168,218.0,U0369.bmp,yes,71,0.2,0.007930933985989236,0.39206907197447527,1.0,1.0,1.0,0.8,0.6079309429266859,0.992069080915172
173,223.0,U0377.bmp,yes,72,0.0,-0.15184392021352983,0.15184392021352983,0.95,0.8453487866117306,1.0546511895464115,0.95,0.8453487866117306,1.0546511895464115
178,229.0,U0393.bmp,yes,74,0.15,-0.021455939773955407,0.3214559516948844,1.0,1.0,1.0,0.85,0.6785440920553543,1.0214559556283616
180,232.0,U0397.bmp,yes,76,0.2,0.007930933985989236,0.39206907197447527,1.0,1.0,1.0,0.8,0.6079309429266859,0.992069080915172
183,235.0,U0400.bmp,yes,77,0.15,-0.0790277632623281,0.37902777518325703,0.9,0.755948184873397,1.044051767442887,0.75,0.5420791381671293,0.9579208618328707
184,236.0,U0401.bmp,yes,78,0.15,-0.12479135061655722,0.4247913625374862,0.85,0.6785440920553543,1.0214559556283616,0.7,0.47995722937205165,0.9200427467860904
