PATH,ORIGINAL,PATH_QUALTRICS,,NUMBER_QUALTRICS,IS_TRAP
https://storage.cloud.google.com/gender_mooneys/,U0230.bmp,https://storage.cloud.google.com/gender_mooneys/U0230.bmp,,141,no
https://storage.cloud.google.com/gender_mooneys/,U0231.bmp,https://storage.cloud.google.com/gender_mooneys/U0231.bmp,,142,no
https://storage.cloud.google.com/gender_mooneys/,U0233.bmp,https://storage.cloud.google.com/gender_mooneys/U0233.bmp,,143,no
https://storage.cloud.google.com/gender_mooneys/,U0234.bmp,https://storage.cloud.google.com/gender_mooneys/U0234.bmp,,144,no
https://storage.cloud.google.com/gender_mooneys/,U0236.bmp,https://storage.cloud.google.com/gender_mooneys/U0236.bmp,,145,no
https://storage.cloud.google.com/gender_mooneys/,U0239.bmp,https://storage.cloud.google.com/gender_mooneys/U0239.bmp,,146,no
https://storage.cloud.google.com/gender_mooneys/,U0240.bmp,https://storage.cloud.google.com/gender_mooneys/U0240.bmp,,147,no
https://storage.cloud.google.com/gender_mooneys/,U0242.bmp,https://storage.cloud.google.com/gender_mooneys/U0242.bmp,,148,no
https://storage.cloud.google.com/gender_mooneys/,U0244.bmp,https://storage.cloud.google.com/gender_mooneys/U0244.bmp,,149,no
https://storage.cloud.google.com/gender_mooneys/,U0245.bmp,https://storage.cloud.google.com/gender_mooneys/U0245.bmp,,150,no
https://storage.cloud.google.com/gender_mooneys/,U0248.bmp,https://storage.cloud.google.com/gender_mooneys/U0248.bmp,,151,no
https://storage.cloud.google.com/gender_mooneys/,U0249.bmp,https://storage.cloud.google.com/gender_mooneys/U0249.bmp,,152,no
https://storage.cloud.google.com/gender_mooneys/,U0252.bmp,https://storage.cloud.google.com/gender_mooneys/U0252.bmp,,153,no
https://storage.cloud.google.com/gender_mooneys/,U0254.bmp,https://storage.cloud.google.com/gender_mooneys/U0254.bmp,,154,no
https://storage.cloud.google.com/gender_mooneys/,U0255.bmp,https://storage.cloud.google.com/gender_mooneys/U0255.bmp,,155,no
https://storage.cloud.google.com/gender_mooneys/,U0258.bmp,https://storage.cloud.google.com/gender_mooneys/U0258.bmp,,156,no
https://storage.cloud.google.com/gender_mooneys/,U0260.bmp,https://storage.cloud.google.com/gender_mooneys/U0260.bmp,,157,no
https://storage.cloud.google.com/gender_mooneys/,U0262.bmp,https://storage.cloud.google.com/gender_mooneys/U0262.bmp,,158,no
